dim,id,label,poems,authors
rhyme,ababab,ababab,1,1
rhyme,ababbcc,ababbcc,1,1
rhyme,abbaccdeedffgghhikikll,abbaccdeedffgghhikikll,1,1
rhyme,aabbcccdd,aabbcccdd,1,1
rhyme,ababccddeeff,ababccddeeff,1,1
rhyme,aabbcdcd,aabbcdcd,1,1
rhyme,abxbxcxac,abxbxcxac,1,1
rhyme,aaab,aaab,1,1
rhyme,abbaccddefdfee,abbaccddefdfee,1,1
rhyme,abbacddceefggfhhii,abbacddceefggfhhii,1,1
rhyme,ababcbbccddcee,ababcbbccddcee,1,1
rhyme,abbaabbaababcc,abbaabbaababcc,1,1
rhyme,abbaaccadedede,abbaaccadedede,1,1
rhyme,aabbbb,aabbbb,1,1
rhyme,ababababcdecde,ababababcdecde,1,1
rhyme,abbacddceeffgghhiikk,abbacddceeffgghhiikk,1,1
rhyme,ababcccdd,ababcccdd,1,1
rhyme,abbaccdeedfggf,abbaccdeedfggf,1,1
rhyme,ababcccddee,ababcccddee,1,1
rhyme,abbaccdeedffghhgiikllkmmnoon,abbaccdeedffghhgiikllkmmnoon,1,1
rhyme,aabbccddd,aabbccddd,1,1
rhyme,abbaccddeffegghiihkk,abbaccddeffegghiihkk,1,1
rhyme,abbaabbacdcddc,abbaabbacdcddc,1,1
rhyme,abbacddcefegfg,abbacddcefegfg,1,1
rhyme,abbacaacdedeff,abbacaacdedeff,1,1
rhyme,ababcdcdeee,ababcdcdeee,1,1
rhyme,abbacdcdeffeghghjjkkllmm,abbacdcdeffeghghjjkkllmm,1,1
rhyme,abbaabbacddccd,abbaabbacddccd,1,1
rhyme,ababcccb,ababcccb,1,1
rhyme,abbccddeeaffffggghihihkkllmmmnnoopp,abbccddeeaffffggghihihkkllmmmnnoopp,1,1
rhyme,abbaccacdcdeedff,abbaccacdcdeedff,1,1
rhyme,ababbccdcdefef,ababbccdcdefef,1,1
rhyme,abbacddceefgfghiihkklmlmnn,abbacddceefgfghiihkklmlmnn,1,1
rhyme,abbaaccacdcdcd,abbaaccacdcdcd,1,1
rhyme,aaabbb,aaabbb,1,1
rhyme,ababccdedffe,ababccdedffe,1,1
rhyme,abbacddcefgefg,abbacddcefgefg,1,1
rhyme,,(unclassified),223,70
